brand,model,year,mileage,capacity,power,price,type
CFMoto,CForce,2025.0,1.0,10003.0,95.0,62499.0,Motorcycle
CFMoto,CForce,2025.0,1.0,0.0,42.0,30900.0,Motorcycle
Romet,K,2026.0,1.0,7303.0,80.0,29999.0,Motorcycle
QJMOTOR,SRT 450RX,2026.0,1.0,4503.0,48.0,22990.0,Motorcycle
CFMoto,CForce,2024.0,1.0,9633.0,90.0,49899.0,Motorcycle
QJMOTOR,SRV 125,2026.0,1.0,1253.0,15.0,10990.0,Motorcycle
CFMoto,CForce,2024.0,1.0,8003.0,75.0,41889.0,Motorcycle
Husqvarna,701,2025.0,1.0,6933.0,79.0,55900.0,Motorcycle
Aprilia,Tuono,2025.0,1.0,1253.0,15.0,18900.0,Motorcycle
Benelli,TRK 702X,2026.0,1.0,6983.0,70.0,29900.0,Motorcycle
KXD,Inny,2025.0,1.0,1243.0,14.0,3700.0,Motorcycle
Loncin,XWOLF 550,2025.0,1.0,4983.0,46.0,25990.0,Motorcycle
Kawasaki,Z 900,2024.0,632.0,9003.0,0.0,35800.0,Motorcycle
ODES,Patchcross,2025.0,1.0,6503.0,54.0,30990.0,Motorcycle
BMW,F,2025.0,1421.0,8953.0,110.0,48800.0,Motorcycle
CFMoto,CForce,2024.0,1.0,4953.0,35.0,27749.0,Motorcycle
Alfarad,Inny,2025.0,1.0,2503.0,24.0,6800.0,Motorcycle
Kawasaki,Z 900,2026.0,1.0,9483.0,124.0,54900.0,Motorcycle
CFMoto,CForce,2025.0,1.0,9633.0,90.0,59489.0,Motorcycle
Vespa,GTS,2025.0,1.0,1253.0,14.0,24999.0,Motorcycle
Vespa,GTS,2025.0,1.0,1253.0,14.0,26000.0,Motorcycle
Inny,Inny,2025.0,1.0,0.0,47.0,33000.0,Motorcycle
ASIX,XB,2026.0,1.0,1403.0,0.0,5599.0,Motorcycle
Junak,M,2025.0,1.0,1253.0,0.0,14499.0,Motorcycle
ASIX,E-M11,2026.0,1.0,0.0,0.0,3499.0,Motorcycle
Romet,Inny,2025.0,1.0,1253.0,0.0,8199.0,Motorcycle
TGB,Blade,2024.0,1.0,6003.0,42.0,41990.0,Motorcycle
Barton,Flash,2025.0,1.0,503.0,0.0,4999.0,Motorcycle
Barton,Hyper,2026.0,1.0,1253.0,0.0,12699.0,Motorcycle
HISUN,Inny,2025.0,1.0,5503.0,37.0,29890.0,Motorcycle
Segway,AT5,2025.0,1.0,4993.0,39.0,24500.0,Motorcycle
HISUN,Inny,2025.0,1.0,7503.0,44.0,63990.0,Motorcycle
Morbidelli,T1002VX,2025.0,1.0,9973.0,89.0,36990.0,Motorcycle
Zontes,703F,2025.0,1.0,7003.0,0.0,36499.0,Motorcycle
ASIX,XB,2026.0,1.0,1403.0,9.0,5599.0,Motorcycle
ASIX,XB,2026.0,1.0,1503.0,12.0,5999.0,Motorcycle
Segway,Snarler AT10,2025.0,1.0,10003.0,97.0,40500.0,Motorcycle
Goes,Terrox,2025.0,1.0,10003.0,90.0,44900.0,Motorcycle
HISUN,Inny,2025.0,1.0,7353.0,43.0,69900.0,Motorcycle
Junak,M12,2026.0,1.0,4003.0,42.0,21999.0,Motorcycle
Segway,Snarler AT6,2025.0,1.0,5703.0,44.0,33990.0,Motorcycle
Segway,Snarler AT6,2025.0,1.0,5703.0,44.0,28500.0,Motorcycle
Talaria,Sting R,2024.0,1.0,0.0,22.0,21490.0,Motorcycle
QJMOTOR,SRK 800RR,2025.0,1.0,7783.0,102.0,31490.0,Motorcycle
QJMOTOR,SRK 125R,2025.0,1.0,1253.0,15.0,12990.0,Motorcycle
Loncin,XWOLF 550,2025.0,1.0,4993.0,46.0,22490.0,Motorcycle
Segway,AT5,2025.0,1.0,4993.0,39.0,26490.0,Motorcycle
Talaria,XXX,2025.0,1.0,0.0,0.0,17499.0,Motorcycle
VOGE,900DSX,2025.0,1.0,8953.0,95.0,42700.0,Motorcycle
