brand,model,year,mileage,capacity,power,price,type
Suzuki,Bandit,2009.0,23800.0,12503.0,0.0,20800.0,Motorcycle
Ducati,Multistrada,2023.0,14200.0,11583.0,170.0,78500.0,Motorcycle
CFMoto,CForce,2025.0,1.0,10003.0,95.0,62499.0,Motorcycle
Suzuki,Hayabusa,2025.0,1.0,13403.0,190.0,85900.0,Motorcycle
CFMoto,CForce,2025.0,1.0,0.0,42.0,30900.0,Motorcycle
Romet,K,2026.0,1.0,7303.0,80.0,29999.0,Motorcycle
QJMOTOR,SRT 450RX,2026.0,1.0,4503.0,48.0,22990.0,Motorcycle
CFMoto,CForce,2024.0,1.0,9633.0,90.0,49899.0,Motorcycle
ELECTRORIDE,Futuri 3,2023.0,628.0,0.0,0.0,18999.0,Motorcycle
Kawasaki,Ninja,2021.0,13787.0,1253.0,15.0,11900.0,Motorcycle
QJMOTOR,SRV 125,2026.0,1.0,1253.0,15.0,10990.0,Motorcycle
Yamaha,Virago,2000.0,16454.0,0.0,0.0,12800.0,Motorcycle
CFMoto,CForce,2024.0,1.0,8003.0,75.0,41889.0,Motorcycle
Husqvarna,701,2025.0,1.0,6933.0,79.0,55900.0,Motorcycle
CFMoto,CForce,2024.0,1.0,9633.0,90.0,49899.0,Motorcycle
CFMoto,CForce,2024.0,0.0,4953.0,35.0,27749.0,Motorcycle
Aprilia,Tuono,2025.0,1.0,1253.0,15.0,18900.0,Motorcycle
Benelli,TRK 702X,2026.0,1.0,6983.0,70.0,29900.0,Motorcycle
KXD,Inny,2025.0,1.0,1243.0,14.0,3700.0,Motorcycle
Suzuki,GSR,2011.0,8641.0,0.0,0.0,21600.0,Motorcycle
Loncin,XWOLF 550,2025.0,1.0,4983.0,46.0,25990.0,Motorcycle
Kawasaki,Z 900,2024.0,632.0,9003.0,0.0,35800.0,Motorcycle
Suzuki,Intruder,2003.0,32000.0,14003.0,0.0,16900.0,Motorcycle
ODES,Patchcross,2025.0,1.0,6503.0,54.0,30990.0,Motorcycle
Kawasaki,Estrella,2014.0,27500.0,8003.0,47.0,27900.0,Motorcycle
Yamaha,XJ,2009.0,35637.0,6003.0,0.0,15900.0,Motorcycle
BMW,Adventure,2026.0,1.0,13003.0,145.0,124850.0,Motorcycle
BMW,F,2025.0,1421.0,8953.0,110.0,48800.0,Motorcycle
Honda,VT,2003.0,18000.0,6003.0,0.0,13500.0,Motorcycle
CFMoto,CForce,2024.0,1.0,4953.0,35.0,27749.0,Motorcycle
Kawasaki,ER,2009.0,54861.0,6493.0,34.0,6200.0,Motorcycle
Alfarad,Inny,2025.0,1.0,2503.0,24.0,6800.0,Motorcycle
Honda,Deauville,2007.0,77991.0,6803.0,65.0,8000.0,Motorcycle
Honda,CB,2019.0,13537.0,6503.0,0.0,28900.0,Motorcycle
BMW,F,2019.0,5164.0,8003.0,89.0,25900.0,Motorcycle
Kawasaki,Z 900,2026.0,1.0,9483.0,124.0,54900.0,Motorcycle
CFMoto,CForce,2025.0,1.0,9633.0,90.0,59489.0,Motorcycle
Vespa,GTS,2025.0,1.0,1253.0,14.0,24999.0,Motorcycle
Vespa,GTS,2025.0,1.0,1253.0,14.0,26000.0,Motorcycle
Inny,Inny,2025.0,1.0,0.0,47.0,33000.0,Motorcycle
BMW,K,2025.0,1.0,16003.0,160.0,123500.0,Motorcycle
Kawasaki,Z 900,2019.0,34000.0,9483.0,125.0,21800.0,Motorcycle
Yamaha,R6,2006.0,38199.0,6003.0,131.0,18900.0,Motorcycle
Inny,Inny,2005.0,3135.0,18203.0,79.0,79900.0,Motorcycle
KTM,Duke,2018.0,12663.0,7993.0,105.0,24900.0,Motorcycle
Harley-Davidson,Softail Heritage Classic,2009.0,90925.0,18013.0,0.0,90000.0,Motorcycle
BMW,S,2025.0,1.0,9993.0,170.0,94700.0,Motorcycle
BMW,R,2025.0,1.0,13003.0,145.0,115200.0,Motorcycle
BMW,R,2025.0,1.0,13003.0,145.0,117200.0,Motorcycle
Ducati,Panigale V4S,2022.0,11700.0,11033.0,215.0,62000.0,Motorcycle
ASIX,XB,2026.0,1.0,1403.0,0.0,5599.0,Motorcycle
Junak,M,2025.0,1.0,1253.0,0.0,14499.0,Motorcycle
Kawasaki,Z,2012.0,33000.0,7493.0,107.0,17900.0,Motorcycle
Honda,Shadow,2012.0,20775.0,7503.0,0.0,18500.0,Motorcycle
Yamaha,XJ,2014.0,17439.0,6003.0,0.0,19900.0,Motorcycle
Ducati,Streetfighter V4,2023.0,11394.0,11033.0,208.0,69900.0,Motorcycle
ASIX,E-M11,2026.0,1.0,0.0,0.0,3499.0,Motorcycle
Romet,Inny,2025.0,1.0,1253.0,0.0,8199.0,Motorcycle
TGB,Blade,2024.0,1.0,6003.0,42.0,41990.0,Motorcycle
Barton,Flash,2025.0,1.0,503.0,0.0,4999.0,Motorcycle
Barton,Hyper,2026.0,1.0,1253.0,0.0,12699.0,Motorcycle
HISUN,Inny,2025.0,1.0,5503.0,37.0,29890.0,Motorcycle
Segway,AT5,2025.0,1.0,4993.0,39.0,24500.0,Motorcycle
HISUN,Inny,2025.0,1.0,7503.0,44.0,63990.0,Motorcycle
Morbidelli,T1002VX,2025.0,1.0,9973.0,89.0,36990.0,Motorcycle
Zontes,703F,2025.0,1.0,7003.0,0.0,36499.0,Motorcycle
ASIX,XB,2026.0,1.0,1403.0,9.0,5599.0,Motorcycle
ASIX,XB,2026.0,1.0,1503.0,12.0,5999.0,Motorcycle
Segway,Snarler AT10,2025.0,1.0,10003.0,97.0,40500.0,Motorcycle
Goes,Terrox,2025.0,1.0,10003.0,90.0,44900.0,Motorcycle
HISUN,Inny,2025.0,1.0,7353.0,43.0,69900.0,Motorcycle
Junak,M12,2026.0,1.0,4003.0,42.0,21999.0,Motorcycle
Segway,Snarler AT6,2025.0,1.0,5703.0,44.0,33990.0,Motorcycle
Segway,Snarler AT6,2025.0,1.0,5703.0,44.0,28500.0,Motorcycle
Talaria,Sting R,2024.0,1.0,0.0,22.0,21490.0,Motorcycle
Segway,Snarler AT6,2025.0,1.0,5703.0,44.0,28500.0,Motorcycle
QJMOTOR,SRK 800RR,2025.0,1.0,7783.0,102.0,31490.0,Motorcycle
QJMOTOR,SRK 125R,2025.0,1.0,1253.0,15.0,12990.0,Motorcycle
Loncin,XWOLF 550,2025.0,1.0,4993.0,46.0,22490.0,Motorcycle
Segway,AT5,2025.0,1.0,4993.0,39.0,26490.0,Motorcycle
Talaria,XXX,2025.0,1.0,0.0,0.0,17499.0,Motorcycle
VOGE,900DSX,2025.0,1.0,8953.0,95.0,42700.0,Motorcycle
Yamaha,R125,2026.0,1.0,1253.0,15.0,25600.0,Motorcycle
Zontes,125 G1 Spoke,2025.0,1.0,1253.0,15.0,17499.0,Motorcycle
KOVE,510X,2026.0,1.0,4983.0,48.0,24899.0,Motorcycle
Zontes,Inny,2025.0,1.0,3683.0,39.0,22490.0,Motorcycle
QJMOTOR,SRV 125,2025.0,1.0,1253.0,15.0,15990.0,Motorcycle
VOGE,625DSX,2026.0,1.0,5813.0,64.0,30900.0,Motorcycle
Zontes,Inny,2026.0,1.0,6993.0,95.0,32490.0,Motorcycle
KOVE,510F,2025.0,1.0,4983.0,48.0,22899.0,Motorcycle
KOVE,800X Rally,2026.0,1.0,7993.0,97.0,42899.0,Motorcycle
KOVE,800X Pro,2026.0,1.0,7993.0,97.0,38949.0,Motorcycle
QJMOTOR,SRK 125S,2025.0,1.0,1253.0,15.0,11990.0,Motorcycle
Zontes,125 G1 Aluminium,2025.0,1.0,1253.0,15.0,15490.0,Motorcycle
KOVE,MX250,2025.0,1.0,2493.0,38.0,24899.0,Motorcycle
Talaria,Sting MX,2024.0,1.0,0.0,0.0,27500.0,Motorcycle
VOGE,SR1,2025.0,1.0,1253.0,12.0,11990.0,Motorcycle
QJMOTOR,SFA 1000,2025.0,1.0,9763.0,93.0,41490.0,Motorcycle
QJMOTOR,SRK 125S,2026.0,1.0,1253.0,15.0,11490.0,Motorcycle
QJMOTOR,COV 125X,2026.0,1.0,0.0,0.0,12990.0,Motorcycle
Loncin,XWOLF 550,2025.0,1.0,4993.0,46.0,26490.0,Motorcycle
Linhai,Inny,2025.0,1.0,4933.0,35.0,24500.0,Motorcycle
Zontes,703F,2025.0,1.0,6993.0,96.0,35999.0,Motorcycle
ASIX,Inny,2025.0,1.0,1073.0,7.0,3999.0,Motorcycle
ASIX,Inny,2025.0,1.0,1233.0,6.0,3999.0,Motorcycle
Suzuki,SV,2003.0,23035.0,6453.0,72.0,10900.0,Motorcycle
Yamaha,Virago,1999.0,13378.0,1253.0,0.0,10800.0,Motorcycle
Inny,Inny,2026.0,1.0,4703.0,83.0,29990.0,Motorcycle
Yamaha,MT,2013.0,50000.0,8473.0,106.0,17800.0,Motorcycle
Kawasaki,Z,2011.0,28000.0,7483.0,107.0,20700.0,Motorcycle
Honda,CB,2025.0,1.0,9993.0,157.0,49900.0,Motorcycle
Harley-Davidson,Softail Slim,2012.0,46000.0,16903.0,86.0,39900.0,Motorcycle
Honda,Hornet,2025.0,1.0,7553.0,92.0,32300.0,Motorcycle
Simson,Inny,1959.0,23892.0,0.0,0.0,22800.0,Motorcycle
Honda,CB,2026.0,1.0,1253.0,15.0,21800.0,Motorcycle
QJMOTOR,TRX 125,2025.0,1.0,1253.0,11.0,9990.0,Motorcycle
Honda,NSS,2025.0,1.0,3503.0,29.0,26900.0,Motorcycle
Honda,CBR,2025.0,1.0,10003.0,218.0,109900.0,Motorcycle
QJMOTOR,SRK 125R,2026.0,1.0,1253.0,15.0,14490.0,Motorcycle
QJMOTOR,SRK 800RR,2026.0,1.0,7763.0,102.0,34900.0,Motorcycle
QJMOTOR,SVT 650,2025.0,1.0,6503.0,76.0,27990.0,Motorcycle
Honda,CRF,2025.0,1.0,10983.0,102.0,79900.0,Motorcycle
Honda,NSS,2024.0,4452.0,1253.0,15.0,19900.0,Motorcycle
BMW,F,2006.0,65150.0,6523.0,48.0,10499.0,Motorcycle
Honda,Varadero,2009.0,47883.0,1253.0,15.0,9800.0,Motorcycle
Segway,Snarler AT10,2026.0,1.0,0.0,0.0,50990.0,Motorcycle
